Location/Plus Code,Latitude,Longitude,Timestamp,PICS
"Mxw9+37g, Sheikhupura, Punjab , Pakistan",31.694758,73.968003,19/12/2025 03:37 PM,WhatsApp Image 2026-01-06 at 12.52.44 PM.jpeg
"Mxw9+37g, Sheikhupura, Punjab , Pakistan Lo TT",31.694383,73.9679,19/12/2025 03:38 PM,WhatsApp Image 2026-01-06 at 12.52.45 PM (1).jpeg
"P282+gwq, Sheikhupura, Punjab, Pakistan FHL",31.716537,74.002239,19/12/2025 10:04 AM,WhatsApp Image 2026-01-06 at 12.52.45 PM (2).jpeg
"Mxw9+37g, Sheikhupura, Punjab , Pakistan RE por",31.694518,73.96792,19/12/2025 03:38 PM,WhatsApp Image 2026-01-06 at 12.52.45 PM.jpeg
"P282+gwgq, Sheikhupura, Punjab , Pakistan",31.716455,74.00221,19/12/2025 10:04 AM,WhatsApp Image 2026-01-06 at 12.52.46 PM (1).jpeg
Not found,31.717098,74.002302,19/12/2025 10:09 AM,WhatsApp Image 2026-01-06 at 12.52.46 PM.jpeg
"P282+gwq, Sheikhupura, Punjab , Pakistan FEdi eH Lat 31716518",31.716518,74.001894,19/12/2025 10:08 AM,WhatsApp Image 2026-01-06 at 12.52.47 PM (1).jpeg
Not found,31.71559,74.001714,19/12/2025 10:07 AM,WhatsApp Image 2026-01-06 at 12.52.47 PM (2).jpeg
"P282+hhm, Gujranwala Rd, Sheikhupura, Punjab, ah",31.716615,74.001897,19/12/2025 10:08 AM,WhatsApp Image 2026-01-06 at 12.52.47 PM.jpeg
"P282+wrh, Sheikhupura, Punjab , Pakistan Sa Ne ire Lat 31",31.71766,74.002312,19/12/2025 10:06 AM,WhatsApp Image 2026-01-06 at 12.52.48 PM (1).jpeg
"p282+gwa, Sheikhupura, Punjab , Pakistan",31.715851,74.001826,19/12/2025 10:07 AM,WhatsApp Image 2026-01-06 at 12.52.48 PM.jpeg
"Px4p+gcm, Bhikhi Rd, Mohalla Ahmedpura, Sheikhupura, Punjab, eh",31.706442,73.986058,19/12/2025 11:14 AM,WhatsApp Image 2026-01-06 at 12.52.49 PM.jpeg
"Px4p+c69 Driving, School, Jahangirabad, Sheikhupura, Punjab",31.706505,73.985672,19/12/2025 11:14 AM,WhatsApp Image 2026-01-06 at 12.52.50 PM (1).jpeg
"Px4p+c69 Driving, School, Jahangirabad, Sheikhupura, Punjab",31.706535,73.985343,19/12/2025 11:15 AM,WhatsApp Image 2026-01-06 at 12.52.50 PM (2).jpeg
"Px4p+c69 Driving, School, Jahangirabad, Sheikhupura, Punjab JER",31.706513,73.985593,19/12/2025 11:15 AM,WhatsApp Image 2026-01-06 at 12.52.50 PM.jpeg
"Px4m+maqv, Khadim Hussain Rd, Jahangirabad, Sheikhupura, S02 SF Punjab, Pakistan So ha SEERE",31.706612,73.984743,19/12/2025 11:16 AM,WhatsApp Image 2026-01-06 at 12.52.51 PM (1).jpeg
"Px4m+maqy, Khadim Hussain Rd, Jahangirabad, Sheikhupura",31.706657,73.984503,19/12/2025 11:16 AM,WhatsApp Image 2026-01-06 at 12.52.51 PM (2).jpeg
"Px4m+maqy, Khadim Hussain Rd, Jahangirabad, Sheikhupura",31.706605,73.98495,19/12/2025 11:15 AM,WhatsApp Image 2026-01-06 at 12.52.51 PM.jpeg
"P282+r5m, Sheikhupura, Punjab , Pakistan Sigg oe Lat 31",31.716891,74.000546,19/12/2025 10:33 AM,WhatsApp Image 2026-01-06 at 12.52.52 PM (1).jpeg
"Px4m+mqy, Khadim Hussain Rd, Jahangirabad, Sheikhupura",31.706687,73.984425,19/12/2025 11:16 AM,WhatsApp Image 2026-01-06 at 12.52.52 PM.jpeg
"Px8x+9rq, Gujranwala Rd, Sheikhupura, Punjab, LS wl EE Pakistan JL",31.715783,74.000317,19/12/2025 10:31 AM,WhatsApp Image 2026-01-06 at 12.52.53 PM (1).jpeg
Not found,31.716734,74.000565,19/12/2025 10:33,WhatsApp Image 2026-01-06 at 12.52.53 PM (2).jpeg
Not found,31.716226,74.0004,19/12/2025 10:32 AM,WhatsApp Image 2026-01-06 at 12.52.53 PM.jpeg
Not found,31.716344,74.000481,19/12/2025 10:29 AM,WhatsApp Image 2026-01-06 at 12.52.54 PM (1).jpeg
Not found,31.716064,74.000377,19/12/2025 10:30 AM,WhatsApp Image 2026-01-06 at 12.52.54 PM (2).jpeg
Not found,31.716247,74.000449,19/12/2025 10:30 AM,WhatsApp Image 2026-01-06 at 12.52.54 PM.jpeg
Not found,31.705972,73.980862,19/12/2025 12:22 PM,WhatsApp Image 2026-01-06 at 12.52.55 PM (1).jpeg
Not found,31.705962,73.981187,19/12/2025 12:21 PM,WhatsApp Image 2026-01-06 at 12.52.55 PM (2).jpeg
Not found,31.705953,73.981075,19/12/2025 12:21 PM,WhatsApp Image 2026-01-06 at 12.52.55 PM.jpeg
"Px4j+65q, Peer Fatehdin Road, Mohallah",31.705895,73.980618,19/12/2025 12:22 PM,WhatsApp Image 2026-01-06 at 12.52.56 PM (1).jpeg
"Px4j+654, Peer Fatehdin Road, Mohallah Jahangirabad",31.705947,73.980793,19/12/2025 12:22 PM,WhatsApp Image 2026-01-06 at 12.52.56 PM.jpeg
"Px4j+742, Khadim Hussain Rd, Jahangirabad, Sheikhupura, Wo, ys",31.705807,73.980348,19/12/2025 12:23 PM,WhatsApp Image 2026-01-06 at 12.52.57 PM (1).jpeg
"Px4j+65q, Peer Fatehdin Road, Mohallah",31.705843,73.980525,19/12/2025 12:22 PM,WhatsApp Image 2026-01-06 at 12.52.57 PM (2).jpeg
"PX28+9W9, Sheikhupura, Pakistan",31.700895,73.9676044,01:06 PM 19/12/2025,WhatsApp Image 2026-01-06 at 12.52.57 PM.jpeg
"PX28+9W9, Sheikhupura, Pakistan",31.700895,73.9676044,01:06 PM 19/12/2025,WhatsApp Image 2026-01-06 at 12.52.58 PM (1).jpeg
"PX28+9W9, Sheikhupura, Pakistan 31",31.700895,73.9676044,01:06 PM 19/12/2025,WhatsApp Image 2026-01-06 at 12.52.58 PM (2).jpeg
"PX28+9W9, Sheikhupura, Pakistan",31.700895,73.9676044,01:06 PM 19/12/2025,WhatsApp Image 2026-01-06 at 12.52.58 PM.jpeg
"PX28+9W9, Sheikhupura, Pakistan",31.700895,73.9676044,01:06 PM 19/12/2025,WhatsApp Image 2026-01-06 at 12.52.59 PM (1).jpeg
"PX28+9W9, Sheikhupura, Pakistan",31.700895,73.9676044,01:07 PM 19/12/2025,WhatsApp Image 2026-01-06 at 12.52.59 PM (2).jpeg
"PX28+9W9, Sheikhupura, Pakistan bl 31",31.700895,73.9676044,01:07 PM 19/12/2025,WhatsApp Image 2026-01-06 at 12.52.59 PM.jpeg
"P282+hhm, Gujranwala Rd, Sheikhupura, Punjab , Es lala",31.717096,74.001266,19/12/2025 10:21 AM,WhatsApp Image 2026-01-06 at 12.53.00 PM (1).jpeg
"P282+hhm, Gujranwala Rd, Sheikhupura, Punjab , AT Ra SEL, Pakistan 00 ge TY Lat 31",31.716932,74.001222,19/12/2025 10:21 AM,WhatsApp Image 2026-01-06 at 12.53.00 PM (2).jpeg
"PX28+9W9, Sheikhupura, Pakistan EB 31700895",31.700895,73.9676044,01:07 PM 19/12/2025,WhatsApp Image 2026-01-06 at 12.53.00 PM.jpeg
"P282+hhm, Gujranwala Rd, Sheikhupura, Punjab , CHIE Pakistan SSE",31.716867,74.001215,19/12/2025 10:21 AM,WhatsApp Image 2026-01-06 at 12.53.01 PM (1).jpeg
"P282+hhm, Gujranwala Rd, Sheikhupura, Punjab, Wr",31.716642,74.001175,19/12/2025 10:20 AM,WhatsApp Image 2026-01-06 at 12.53.01 PM.jpeg
Not found,31.715922,74.001056,19/12/2025 10:19 AM,WhatsApp Image 2026-01-06 at 12.53.02 PM (1).jpeg
Not found,31.716316,74.001142,19/12/2025 10:18 AM,WhatsApp Image 2026-01-06 at 12.53.02 PM (2).jpeg
Not found,31.716264,74.001124,19/12/2025 10:18 AM,WhatsApp Image 2026-01-06 at 12.53.02 PM.jpeg
"Px9x+96h, Allama Mashriqi Park, Sheikhupura",31.718372,73.998184,19/12/2025 11:41 AM,WhatsApp Image 2026-01-06 at 12.53.03 PM (1).jpeg
"Px9x+96h, Allama Mashrigi Park, Sheikhupura",31.718406,73.998124,19/12/2025 11:40 AM,WhatsApp Image 2026-01-06 at 12.53.03 PM (2).jpeg
"Px9x+96h, Allama Mashrigi Park, Sheikhupura, Abe tinder",31.718344,73.998295,19/12/2025 11:41 AM,WhatsApp Image 2026-01-06 at 12.53.03 PM.jpeg
"Px9x+96h, Allama Mashrigi Park, Sheikhupura",31.718477,73.997909,19/12/2025 11:40 AM,WhatsApp Image 2026-01-06 at 12.53.04 PM (1).jpeg
"Px9x+96h, Allama Mashriqi Park, Sheikhupura",31.718452,73.998001,19/12/2025 11:40 AM,WhatsApp Image 2026-01-06 at 12.53.04 PM.jpeg
"Px9w+9xv, Sheikhupura, Punjab , Pakistan",31.718559,73.997618,19/12/2025 11:39 AM,WhatsApp Image 2026-01-06 at 12.53.05 PM (1).jpeg
"Px9x+g22, Sheikhupura, Punjab , Pakistan",31.718626,73.997732,19/12/2025 11:40 AM,WhatsApp Image 2026-01-06 at 12.53.05 PM (2).jpeg
"Px9x+82g, Gujranwala Rd, Sheikhupura, Punjab , ER 280",31.718491,73.997751,19/12/2025 11:40 AM,WhatsApp Image 2026-01-06 at 12.53.05 PM.jpeg
Not found,31.703142,73.98119,19/12/2025 12:12 PM,WhatsApp Image 2026-01-06 at 12.53.06 PM (1).jpeg
Not found,31.703218,73.981193,19/12/2025 12:12 PM,WhatsApp Image 2026-01-06 at 12.53.06 PM (2).jpeg
Not found,31.703038,73.981113,19/12/2025 12:11 PM,WhatsApp Image 2026-01-06 at 12.53.06 PM.jpeg
"Px3j+cfh, Tup Dar Jahangirabad, Sheikhupura, Punjab , Pakistan",31.703517,73.981223,19/12/2025 12:13 PM,WhatsApp Image 2026-01-06 at 12.53.07 PM (1).jpeg
"Px3j+cfh, Tup Dar Jahangirabad, Sheikhupura, Punjab , Pakistan SRS SE Lat 31",31.703618,73.981245,19/12/2025 12:13 PM,WhatsApp Image 2026-01-06 at 12.53.07 PM (2).jpeg
"Px3j+cfh, Tup Dar Jahangirabad, Sheikhupura, Punjab , Pakistan ey",31.70339,73.981178,19/12/2025 12:12 PM,31WhatsApp Image 2026-01-06 at 12.53.07 PM.jpeg
"Px3j+fhj, Tup Dar Sheikhupura, Pakistan, Sheikhupura, Punjab",31.703753,73.981272,19/12/2025 12:13 PM,WhatsApp Image 2026-01-06 at 12.53.08 PM (1).jpeg
"Px3j+fhj, Tup Dar Sheikhupura, Pakistan, Sheikhupura, Punjab",31.703697,73.981347,19/12/2025 12:13 PM,WhatsApp Image 2026-01-06 at 12.53.08 PM.jpeg
"Mxw9+37g, Sheikhupura, Punjab , Pakistan",31.695177,73.968825,19/12/2025 03:42 PM,WhatsApp Image 2026-01-06 at 12.53.09 PM (1).jpeg
"Px3j+fhj, Tup Dar, Sheikhupura, Punjab , Pakistan",31.703718,73.981572,19/12/2025 12:14 PM,WhatsApp Image 2026-01-06 at 12.53.09 PM (2).jpeg
"Mxw9+37g, Sheikhupura, Punjab , Pakistan",31.69492,73.968693,19/12/2025 03:43 PM,WhatsApp Image 2026-01-06 at 12.53.09 PM.jpeg
"Mxw9+37g, Sheikhupura, Punjab , Pakistan Lo Fob Lk",31.694793,73.968693,19/12/2025 03:43 PM,WhatsApp Image 2026-01-06 at 12.53.10 PM (1).jpeg
"Mxw9+37g, Sheikhupura, Punjab , Pakistan Bat SE pon",31.695023,73.96876,19/12/2025 03:43 PM,WhatsApp Image 2026-01-06 at 12.53.10 PM.jpeg
"Mxw9+37g, Sheikhupura, Punjab , Pakistan",31.694685,73.96867,19/12/2025 03:43 PM,WhatsApp Image 2026-01-06 at 12.53.11 PM (1).jpeg
"Mxw9+37g, Sheikhupura, Punjab , Pakistan",31.69437,73.96858,19/12/2025 03:44 PM,WhatsApp Image 2026-01-06 at 12.53.11 PM (2).jpeg
"Mxw9+37g, Sheikhupura, Punjab, Pakistan TUES 50 Lat 31",31.694485,73.96863,19/12/2025 03:44 PM,WhatsApp Image 2026-01-06 at 12.53.11 PM.jpeg
"Px9w+qp9, Sheikhupura, Punjab , Pakistan",31.719217,73.996947,19/12/2025 12:06 PM,WhatsApp Image 2026-01-06 at 12.53.12 PM (1).jpeg
"Px9w+qp9, Sheikhupura, Punjab , Pakistan BES ET Lat 31",31.719281,73.997167,19/12/2025 12:06 PM,WhatsApp Image 2026-01-06 at 12.53.12 PM (2).jpeg
"Px9w+qp9, Sheikhupura, Punjab , Pakistan 4005 AT Lat 31",31.719228,73.997014,19/12/2025 12:06 PM,WhatsApp Image 2026-01-06 at 12.53.12 PM.jpeg
"Px9x+pAr, Gujranwala Rd, Sheikhupura, Punjab",31.719264,73.997595,19/12/2025 12:06 PM,WhatsApp Image 2026-01-06 at 12.53.13 PM (1).jpeg
"Px9w+nv8, Gujranwala Rd, Sheikhupura, Punjab",31.719261,73.997406,19/12/2025 12:06 PM,WhatsApp Image 2026-01-06 at 12.53.13 PM.jpeg
"Px9x+p4r, Gujranwala Rd, Sheikhupura, Punjab",31.719255,73.997752,19/12/2025 12:05 PM,WhatsApp Image 2026-01-06 at 12.53.14 PM (1).jpeg
"Px9x+m7g Lona Parak, Sheikhupura, Punjab , Pakistan ATC IU Lat 31719156",31.719156,73.998228,19/12/2025 12:05 PM,WhatsApp Image 2026-01-06 at 12.53.14 PM (2).jpeg
"Px9x+p4r, Gujranwala Rd, Sheikhupura, Punjab",31.719206,73.997962,19/12/2025 12:05 PM,WhatsApp Image 2026-01-06 at 12.53.14 PM.jpeg
"Mxvf+jrf, Road, Bhikhi, Punjab , Pakistan Tare i8",31.693915,73.974432,19/12/2025 03:05 PM,WhatsApp Image 2026-01-06 at 12.53.15 PM (1).jpeg
"Mxvf+jrf, Road, Bhikhi, Punjab , Pakistan SSS Sl",31.694025,73.97403,19/12/2025 03:06 PM,WhatsApp Image 2026-01-06 at 12.53.15 PM (2).jpeg
"Mxuf+irf, Road, Bhikhi, Punjab, Pakistan AS",31.693998,73.974178,19/12/2025 03:06 PM,WhatsApp Image 2026-01-06 at 12.53.15 PM.jpeg
"Mxvf+c9f, Lahore Rd, Near Resue 1122 Office, Sheikhupura, Fog Ye Ve, jab , Pakistan CS ARES Si Punjab , Pa et",31.694097,73.973823,19/12/2025 03:06 PM,WhatsApp Image 2026-01-06 at 12.53.16 PM (1).jpeg
"Mxvf+cof, Lahore Rd, Near Resue 1122 Office, Sheikhupura",31.694088,73.973713,19/12/2025 03:07 PM,WhatsApp Image 2026-01-06 at 12.53.16 PM (2).jpeg
"Mxvf+jrf, Road, Bhikhi, Punjab , Pakistan Splint ahh",31.69405,73.973942,19/12/2025 03:06 PM,WhatsApp Image 2026-01-06 at 12.53.16 PM.jpeg
"Mxvf+c9f, Lahore Rd, Near Resue 1122 Office, Sheikhupura, BENS od Punjab , Pakistan Sir nes",31.694112,73.973573,19/12/2025 03:08 PM,WhatsApp Image 2026-01-06 at 12.53.17 PM (1).jpeg
"Mxvf+c9f, Lahore Rd, Near Resue 1122 Office, Sheikhupura",31.694113,73.97351,19/12/2025 03:08 PM,WhatsApp Image 2026-01-06 at 12.53.17 PM.jpeg
"P273+r6c, Rehmat Colony, Sheikhupura, Punjab",31.715271,74.002398,19/12/2025 09:58 AM,WhatsApp Image 2026-01-06 at 12.53.18 PM (1).jpeg
"P283+f5j, Sheikhupura, Punjab , Pakistan cho",31.715454,74.002386,19/12/2025 09:58 AM,WhatsApp Image 2026-01-06 at 12.53.18 PM (2).jpeg
"P283+f5j, Sheikhupura, Punjab , Pakistan",31.715375,74.002383,19/12/2025 09:58 AM,WhatsApp Image 2026-01-06 at 12.53.18 PM.jpeg
"P282+gwaq, Sheikhupura, Punjab, Pakistan 55 oh",31.715813,74.002467,19/12/2025 09:57 AM,WhatsApp Image 2026-01-06 at 12.53.19 PM (1).jpeg
"P282+gwq, Sheikhupura, Punjab , Pakistan ne",31.71571,74.002441,19/12/2025 09:58 AM,WhatsApp Image 2026-01-06 at 12.53.19 PM (2).jpeg
"P282+gwa, Sheikhupura, Punjab, Pakistan AY Lat 31",31.715579,74.002407,19/12/2025 09:58 AM,WhatsApp Image 2026-01-06 at 12.53.19 PM.jpeg
"P282+gwq, Sheikhupura, Punjab , Pakistan Rak",31.71606,74.00247,19/12/2025 09:57 AM,WhatsApp Image 2026-01-06 at 12.53.20 PM (1).jpeg
"P282+gwaq, Sheikhupura, Punjab, Pakistan",31.7159,74.002482,19/12/2025 09:57 AM,WhatsApp Image 2026-01-06 at 12.53.20 PM.jpeg
"P282+gwaq, Sheikhupura, Punjab , Pakistan pla",31.716166,74.002564,19/12/2025 09:57 AM,WhatsApp Image 2026-01-06 at 12.53.21 PM (1).jpeg
"P282+r5m, Sheikhupura, Punjab , Pakistan Nica Fa SE Lat 31",31.716916,74.000897,19/12/2025 10:26 AM,WhatsApp Image 2026-01-06 at 12.53.21 PM (2).jpeg
"P282+r5m, Sheikhupura, Punjab , Pakistan JERSEY Lat 31",31.717042,74.000897,19/12/2025 10:26 AM,WhatsApp Image 2026-01-06 at 12.53.21 PM.jpeg
Not found,31.716684,74.000852,19/12/2025 10:26 AM,WhatsApp Image 2026-01-06 at 12.53.22 PM (1).jpeg
Not found,31.715918,74.00073,19/12/2025 10:25 AM,WhatsApp Image 2026-01-06 at 12.53.22 PM (2).jpeg
Not found,31.716778,74.000831,19/12/2025 10:26 AM,WhatsApp Image 2026-01-06 at 12.53.22 PM.jpeg
Not found,31.716254,74.0008,19/12/2025 10:24 AM,WhatsApp Image 2026-01-06 at 12.53.23 PM (1).jpeg
Not found,31.715998,74.000753,19/12/2025 10:24 AM,WhatsApp Image 2026-01-06 at 12.53.23 PM.jpeg
"pyox+qup, Gujranwala Road, Bund Road, Baypass",31.719327,73.999428,19/12/2025 11:48 AM,WhatsApp Image 2026-01-06 at 12.53.24 PM (1).jpeg
"Px9x+qvp, Gujranwala Road, Bund Road, Baypass, gp",31.719241,73.999477,19/12/2025 11:48 AM,WhatsApp Image 2026-01-06 at 12.53.24 PM (2).jpeg
Not found,31.716445,74.000859,Not found,WhatsApp Image 2026-01-06 at 12.53.24 PM.jpeg
"Px9x+wjg, Gujranwala Link Rd, Sheikhupura, Punjab , ena",31.71937,73.999046,19/12/2025 11:47 AM,WhatsApp Image 2026-01-06 at 12.53.25 PM (1).jpeg
"Px9x+vmw, Gujranwala Link Rd, Sheikhupura, Punjab , Hs Ch",31.719366,73.999111,19/12/2025 11:47 AM,WhatsApp Image 2026-01-06 at 12.53.25 PM (2).jpeg
"PxOx+vmw, Gujranwala Link Rd, Sheikhupura, Punjab",31.719384,73.999237,19/12/2025 11:48 AM,WhatsApp Image 2026-01-06 at 12.53.25 PM.jpeg
"Px9x+wjg, Gujranwala Link Rd, Sheikhupura, Punjab , Gm toma Pakistan CETTE Lat 31",31.719409,73.998865,19/12/2025 11:47 AM,WhatsApp Image 2026-01-06 at 12.53.26 PM (1).jpeg
"Px9x+wjg, Gujranwala Link Rd, Sheikhupura, Punjab , fare ales Vy Pakistan pgs Bethnl Lat 31",31.719504,73.998845,19/12/2025 11:46 AM,WhatsApp Image 2026-01-06 at 12.53.26 PM.jpeg
"Px9x+82g, Gujranwala Rd, Sheikhupura, Punjab , rr MEE YT",31.718548,73.997768,19/12/2025 11:44 AM,WhatsApp Image 2026-01-06 at 12.53.27 PM (1).jpeg
Not found,31.717679,73.997511,19/12/2025 11:44 AM,WhatsApp Image 2026-01-06 at 12.53.27 PM (2).jpeg
Not found,31.703883,73.982632,Not found,WhatsApp Image 2026-01-06 at 12.53.27 PM.jpeg
"P282+hhm, Gujranwala Rd, Sheikhupura, Punjab , oh, Bul SU Pakistan E500 oA Lat 31",31.716874,74.001582,19/12/2025 10:16 AM,WhatsApp Image 2026-01-06 at 12.53.28 PM (1).jpeg
"Px9x+96h, Allama Mashriqi Park, Sheikhupura",31.718372,73.998184,19/12/2025 11:41 AM,WhatsApp Image 2026-01-06 at 12.53.28 PM (2).jpeg
"Px9x+96h, Allama Mashrigi Park, Sheikhupura, Abe tinder",31.718344,73.998295,19/12/2025 11:41 AM,WhatsApp Image 2026-01-06 at 12.53.28 PM.jpeg
"P282+hhm, Gujranwala Rd, Sheikhupura, Punjab, SRE TRBNERETS, Pakistan SHESE es Lat 31716716",31.716716,74.00155,19/12/2025 10:16 AM,WhatsApp Image 2026-01-06 at 12.53.29 PM (1).jpeg
"P282+hhm, Gujranwala Rd, Sheikhupura, Punjab , 136 on",31.716632,74.001549,19/12/2025 10:16 AM,WhatsApp Image 2026-01-06 at 12.53.29 PM (2).jpeg
"P282+hhm, Gujranwala Rd, Sheikhupura, Punjab , ER Se eS Pakistan SESE 59 Lat 31",31.716798,74.001563,19/12/2025 10:16 AM,WhatsApp Image 2026-01-06 at 12.53.29 PM.jpeg
"P282+hhm, Gujranwala Rd, Sheikhupura, Punjab , Eas 2d Pakistan SSS Se TT Lat 31",31.716485,74.001489,19/12/2025 10:15 AM,WhatsApp Image 2026-01-06 at 12.53.30 PM (1).jpeg
"P282+hhm, Gujranwala Rd, Sheikhupura, Punjab , Sie Ld",31.716387,74.001476,19/12/2025 10:15 AM,WhatsApp Image 2026-01-06 at 12.53.30 PM.jpeg
Not found,31.715616,74.001378,19/12/2025 10:14 AM,WhatsApp Image 2026-01-06 at 12.53.31 PM (1).jpeg
Not found,31.715757,74.001367,19/12/2025 10:11 AM,WhatsApp Image 2026-01-06 at 12.53.31 PM (2).jpeg
Not found,31.715702,74.001377,19/12/2025 10:12 AM,WhatsApp Image 2026-01-06 at 12.53.31 PM.jpeg
Not found,31.71598,74.001426,19/12/2025 10:11 AM,WhatsApp Image 2026-01-06 at 12.53.32 PM (1).jpeg
Not found,31.715902,74.001397,19/12/2025 10:11 AM,WhatsApp Image 2026-01-06 at 12.53.32 PM.jpeg
